Ngay	Loai	So tien	Dien giai	BO/GIU	Danh muc em doan	ANH SUA	Nguoi	Ghi chu cua em
2026-06-27	Chi	700000	Vợ chồng mình đi mát xa	GIU	Khác		Thư	
2026-07-18	Chi	678000	Đi ăn ốc Như	GIU	Ăn uống			
2025-12-16	Chi	652000	Beefsteak the NIM (mắc, k ngon)	GIU	Khác			
2026-01-21	Chi	639000	Vợ mua 2 áo đi làm 	GIU	Mua sắm cá nhân		Thư	
2025-12-25	Chi	631000	Ốc Như	GIU	Khác			
2025-12-20	Chi	608100	Đi chợ Kingfood	GIU	Chợ/Siêu thị			
2026-03-07	Chi	595000	Mua đồ cho Nho	GIU	Khác			
2026-04-04	Chi	562087	Mua 2 thùng sữa Vinamilk	GIU	Ăn uống			
2026-05-10	Chi	558000	Mua hạt cho Bánh	GIU	Ăn uống			
2025-12-02	Chi	531120	Shopee quà tặng sn chị 2	GIU	Biếu tặng			
2025-12-06	Chi	527700	Zalopay mua hạt	GIU	Khác			
2026-01-12	Chi	504300	Mua 2kg hạt cho Bánh	GIU	Ăn uống			
2026-01-23	Chi	500000	Gửi tiền đi sinh nhật con út Oanh	GIU	Biếu tặng			
2026-01-30	Thu	500000	Bikelead HCMC26	GIU	Kinh doanh			
2026-03-14	Chi	500000	Đi đám cưới bé Nguyên	GIU	Biếu tặng			
2026-03-15	Chi	500000	2 vợ chồng đi nặn mụn	GIU	Khác		Thư	
2026-06-03	Chi	500000	Lì xì đầy tháng dùm mẹ chồng	GIU	Biếu tặng		Chương	
2026-01-23	Chi	490000	Mua trái cây thăm chị Linh anh Việt	GIU	Biếu tặng			
2026-03-03	Chi	488484	Vợ mua găng tay boxing và vải quấn	GIU	Ăn uống		Thư	
2025-12-20	Chi	485000	Mua đồ cho chồng	GIU	Khác		Chương	
2026-06-27	Chi	484000	quán lẩu Thiên Phúc	GIU	Ăn uống			
2026-07-05	Chi	479520	Ăn bít tết Titi	GIU	Khác			
2026-01-02	Chi	470000	Vợ làm nails	GIU	Mua sắm cá nhân		Thư	
2026-03-30	Chi	456100		GIU	Khác			
2026-02-01	Chi	450000	Vợ đi massage và uốn mi	GIU	Khác		Thư	
2026-03-03	Chi	440400	Kingfood Trần Văn quang	GIU	Chợ/Siêu thị			
2026-01-18	Chi	433000	Vợ mua áo dài Tết	GIU	Mua sắm cá nhân		Thư	
2026-04-04	Chi	415800	Mua cát cho Bánh	GIU	Ăn uống			
2026-04-09	Chi	384700	Đi chợ Kingfood	GIU	Chợ/Siêu thị			
2026-01-20	Chi	382852	Kingfood Mart Trần Văn Quang	GIU	Chợ/Siêu thị			
2026-07-25	Chi	376000	Tiền ăn bún đậu Homemade	GIU	Ăn uống			
2026-02-11	Chi	370000	Vợ làm nails Tết	GIU	Mua sắm cá nhân		Thư	
2026-07-26	Chi	365900	Tiền ăn sushi	GIU	Ăn uống			
2026-07-10	Chi	364600	Đi chợ coop Kênh tân hoá	GIU	Khác			
2026-02-27	Chi	363959	Coop Kênh tân Hoá	GIU	Khác			
2026-07-13	Chi	351601	Đi chợ coop Phú Thọ	GIU	Khác			
2026-04-22	Chi	350000	Vợ làm nails tháng 4	GIU	Mua sắm cá nhân		Thư	
2026-07-23	Chi	350000		GIU	Khác			
2025-12-20	Chi	343560	Mua đồ cho chồng (bộ xanh)	GIU	Khác		Chương	
2026-01-26	Chi	343000	Ốc mắm sữa	GIU	Ăn uống			
2025-12-04	Chi	341000	Bún đậu Homemande	GIU	Ăn uống			
2026-04-06	Chi	341000	Bún đậu Homemade	GIU	Ăn uống			
2026-06-19	Chi	336633	Đi chợ coop Phú Thọ	GIU	Khác			
2026-01-10	Chi	332000	Ăn sushi quán kế bên Bún Quậy	GIU	Ăn uống			
2026-01-10	Chi	326700	Vợ mua vé xe về Cần Thơ thăm bố mổ	GIU	Biếu tặng		Thư	
2026-07-21	Chi	315518		GIU	Khác			
2026-03-14	Chi	310000	Vợ làm nails	GIU	Mua sắm cá nhân		Thư	
2026-06-27	Chi	300000	50% tiền phòng	GIU	Hoá đơn			
2026-04-18	Chi	298000	Ốc mắm sũa	GIU	Khác			
2025-12-31	Chi	296000	Bún đậu homemade	GIU	Ăn uống			
2026-03-02	Chi	295314	Vợ mua sữa vinamilk	GIU	Ăn uống		Thư	
2026-01-06	Chi	291574	Kingfood Mart Trần Văn Quang	GIU	Chợ/Siêu thị			
2026-02-02	Chi	288479	Mua sữa hạt cao đạm Vinamilk	GIU	Ăn uống			
2026-05-07	Chi	287000	Ăn Hanuri	GIU	Ăn uống			
2026-06-29	Chi	284447	Đi chợ coop Phú Thọ	GIU	Khác			
2026-01-05	Chi	276000	Mua gì đó buổi tối	GIU	Khác			
2026-03-29	Chi	275000	Ăn hàu Âu Cơ	GIU	Khác			
2026-07-20	Chi	274400	Kingfood	GIU	Chợ/Siêu thị			
2026-05-31	Chi	273600	Đi chợ Kingfood	GIU	Chợ/Siêu thị			
2026-01-28	Chi	273000	Mì Ý double B	GIU	Khác			
2025-12-28	Chi	270000	Ăn hàu âu cơ	GIU	Khác			
2026-05-28	Chi	268800	Đi chợ Kingfood	GIU	Chợ/Siêu thị			
2026-01-17	Chi	268000	Vợ thuê đồ đi tất niên	GIU	Khác		Thư	
2026-02-07	Chi	266000	Sushi cô chủ nhỏ	GIU	Khác			
2026-01-12	Chi	265680	Mua 2 cái áo dú cho vợ	GIU	Mua sắm cá nhân		Thư	
2026-01-09	Chi	262000	Bò nhúng giấm gần công ty	GIU	Khác			
2026-03-28	Chi	257000	Ăn trưa Hanuri (bán vàng)	GIU	Ăn uống			
2026-04-09	Chi	256880	Đi chợ coop Trần Văn Quang	GIU	Ăn uống			
2026-01-03	Chi	251636	Vợ mua 3 hộp mặt nạ Colorkey	GIU	Mua sắm cá nhân		Thư	
2026-04-10	Chi	250000	Mua vòng ngọc trai tặng mẹ chồng	GIU	Biếu tặng		Chương	
2026-05-31	Chi	249606	Đi chợ Coop Kênh Tân Hoá	GIU	Khác			
2026-06-05	Chi	249606	Đi chợ coop Phú Thọ	GIU	Khác			
2025-12-12	Chi	240000	Mua 1 kg tôm tươi ngoài chợ	GIU	Khác			
2026-04-27	Chi	240000	Mua sữa gạo Đà Lạt	GIU	Ăn uống			
2026-01-12	Chi	236930	Mua lõi xịt thơm phòng	GIU	Khác			
2026-04-20	Chi	232593	Coop	GIU	Khác			
2026-05-30	Chi	230003	Sữa hạt vinamilk	GIU	Ăn uống			
2026-06-06	Chi	230000	vợ mua sữa Vinamilk	GIU	Ăn uống		Thư	
2026-02-23	Chi	225000	Mua pate tươi cho bánh ngáo	GIU	Mua sắm cá nhân			
2026-02-23	Chi	221012	Coop Trần Văn Quang	GIU	Ăn uống			
2025-12-01	Chi	220922	Đi chợ coop	GIU	Khác			
2025-12-03	Chi	220000	Lẩu gà lá é	GIU	Ăn uống			
2026-06-28	Chi	220000	Chuyển tiền ăn bánh căn	GIU	Ăn uống			
2025-12-13	Chi	207611	Zalopay	GIU	Khác			
2026-03-23	Chi	200000	Đi chợ mua tôm	GIU	Khác			
2026-06-16	Chi	200000	Ăn gì đó buổi tối	GIU	Khác			
2026-06-28	Chi	200000	Cho nhóc máy cày	GIU	Khác			
2026-07-18	Chi	200000	Vợ đi massage body	GIU	Khác		Thư	
2026-05-25	Chi	194780	Đi chợ Coop	GIU	Khác			
2026-03-29	Chi	190650	Shopee	GIU	Ăn uống			
2026-03-11	Chi	183000	Sukiya	GIU	Khác			
2026-02-03	Chi	182486	Coop Trần Văn Quang	GIU	Ăn uống			
2026-06-24	Chi	180000	Ăn lẩu cá đuối	GIU	Ăn uống			
2026-06-19	Chi	179000	Ăn bún mắm Bạc Liêu	GIU	Ăn uống			
2025-12-12	Chi	177611	Shoppee dầu gội đầu	GIU	Khác			
2026-03-28	Chi	175770	Momo	GIU	Khác			
2026-02-23	Chi	174240	Vợ mua máy uốn tóc	GIU	Khác		Thư	
2026-03-08	Chi	172369	Đi chợ coop	GIU	Khác			
2026-03-12	Chi	168720	Mua đồ ăn king food	GIU	Ăn uống			
2026-01-20	Chi	168300	Mua đồ shopee	GIU	Ăn uống			
2026-04-04	Chi	168300	Mua đồ shopee(quần lót boxer)	GIU	Mua sắm cá nhân			
2026-01-21	Chi	168000	Mua kem dưỡng ẩm Larosposay	GIU	Ăn uống			
2026-02-25	Chi	167692	Coop Trần Văn Quang	GIU	Ăn uống			
2025-12-16	Chi	167000	Bánh xèo	GIU	Ăn uống			
2026-04-18	Chi	162000	Đi cafe LỀU 	GIU	Ăn uống			
2026-06-27	Chi	162000	Ăn sáng bò né	GIU	Khác			
2026-05-24	Chi	161440	Mua tiktok shop lược wetbrush	GIU	Khác			
2026-01-12	Chi	158976	Mua nước xả Downy	GIU	Ăn uống			
2026-03-20	Chi	155000	Bò né sữa tuơi quán Khơme	GIU	Ăn uống			
2026-04-24	Chi	153000	Bún quậy Phú Quốc	GIU	Ăn uống			
2026-04-07	Chi	151339	Đi chợ coop Trần Văn Quang	GIU	Ăn uống			
2026-07-14	Chi	150000	Mua bánh xèo	GIU	Ăn uống			
2026-01-27	Chi	142800	coop Trần Văn Quang	GIU	Ăn uống			
2026-01-12	Chi	142670	coop Trần Văn Quang	GIU	Ăn uống			
2026-05-20	Chi	141109	Mua đồ shopee (rây lọc inox)	GIU	Đồ dùng gia đình			
2026-02-09	Chi	139000	Bún mắm Bạc Liêu	GIU	Ăn uống			
2025-12-30	Chi	138000	Bấu xì giùn	GIU	Khác			
2025-12-12	Chi	135000	Bánh xèo Nam Bộ	GIU	Ăn uống			
2026-01-22	Chi	135000	Bánh xèo Nam bộ	GIU	Ăn uống			
2026-02-02	Chi	133650	Mua túi đeo chéo màu bạc dây xích	GIU	Khác			
2025-12-18	Chi	132000	Bún mắm	GIU	Ăn uống			
2025-12-08	Chi	127000	Bún quậy	GIU	Ăn uống			
2026-05-11	Chi	124320	Đi chợ Coop	GIU	Khác			
2026-01-05	Chi	124000	Cafe nghe nhạc NVH Thanh niên	GIU	Giải trí			
2026-02-24	Chi	123000	Hủ tíu Nam Vang Thành Đạt	GIU	Ăn uống			
2025-12-12	Chi	121167	Shoppee DR Natro	GIU	Khác			
2026-01-07	Chi	120000	Ăn tối	GIU	Khác			
2026-02-23	Chi	120000	Ăn nui ở trạm dừng Phúc Lộc	GIU	Khác			
2026-01-26	Chi	118000	Ăn tối	GIU	Khác			
2026-05-12	Chi	117770	Đi chợ Coop	GIU	Khác			
2026-01-20	Chi	117000	Mua nước xả vài Hygien trắng và cam	GIU	Ăn uống			
2025-12-29	Chi	116100	Zalopay	GIU	Khác			
2025-12-12	Chi	115080	Shoppee	GIU	Khác			
2026-02-01	Chi	115000	Bún quậy Tâm quán	GIU	Ăn uống			
2026-04-11	Chi	111000	MOCA	GIU	Khác			
2026-01-01	Chi	110000	chè Khúc bạch thanh	GIU	Ăn uống			
2026-02-05	Chi	110000	Hủ tíu sađéc	GIU	Ăn uống			
2026-04-07	Chi	110000	VO THI DUNG	GIU	Khác			
2026-04-11	Chi	110000	Mua hoa cẩm tú cầu	GIU	Khác			
2026-05-22	Chi	110000	Tré trộn Giang Hoàng	GIU	Khác			
2026-03-18	Chi	108842	Đi chợ coop	GIU	Khác			
2026-03-03	Chi	106770	Coop Trần Văn Quang	GIU	Ăn uống			
2025-12-12	Chi	106000	Chụp x quang vợ khám bv chấn thương chính hình	GIU	Sức khoẻ		Thư	
2026-07-09	Chi	101400	Đi chợ kingfood	GIU	Chợ/Siêu thị			
2026-05-24	Chi	101250	Mua tiktok shop son time phoria	GIU	Mua sắm cá nhân			
2026-01-23	Chi	100000	Bún thái siêu cay Sư Vạn Hạnh	GIU	Ăn uống			
2026-03-11	Chi	100000	HỦ tíu sa đéc	GIU	Khác			
2026-04-29	Chi	100000	Bánh xèo Nam Bộ	GIU	Ăn uống			
2026-06-02	Chi	100000	CK NGUYEN THI LIEU 19H26	GIU	Khác			
2026-06-04	Chi	100000	Ăn gì đó buổi tối	GIU	Khác			
2026-07-26	Chi	99000	Tiền ăn sushi	GIU	Ăn uống			
2026-04-12	Chi	98000	The coffee house	GIU	Khác			
2026-05-29	Chi	91000	Bắt grab đi ăn Cửu Vân Long	GIU	Đi lại			
2025-12-28	Chi	90000	Khúc bạch Thanh	GIU	Khác			
2026-01-24	Chi	90000	Mua nước lau bếp 4 chai	GIU	Ăn uống			
2026-01-29	Chi	90000	Mua trái cây chợ Huỳnh Văn Chính	GIU	Ăn uống			
2026-01-30	Chi	89999	Vợ mua áo choàng Voan	GIU	Mua sắm cá nhân		Thư	
2026-03-29	Chi	88000	Ăn chè Thanh Tâm	GIU	Ăn uống			
2026-01-15	Chi	87000	Chè Khúc Bạch	GIU	Ăn uống			
2026-05-20	Chi	86988	Mua đồ shopee (set 3 quần lót cho chồng)	GIU	Mua sắm cá nhân		Chương	
2025-12-14	Chi	85000	Đi chợ coop	GIU	Khác			
2026-07-26	Chi	84400	Tiền mua xúc xích cho chồng	GIU	Khác		Chương	
2026-06-03	Chi	83000	Đi xe đi đầy tháng Mây 	GIU	Biếu tặng			
2025-12-05	Chi	82000	Bún bò trộn Bình Định	GIU	Ăn uống			
2026-01-01	Chi	82000	Phá lấu bò a Tài	GIU	Ăn uống			
2026-08-27	Chi	81888	Mua đồ coop mart	GIU	Khác			
2025-12-12	Chi	80000	Khô cá lóc	GIU	Khác			
2026-01-22	Chi	80000	Vợ gội đầu	GIU	Khác		Thư	
2026-03-12	Chi	80000	Ăn cháo vịt cô năm	GIU	Mua sắm cá nhân			
2026-04-22	Chi	80000	Bún bò Út Vân	GIU	Ăn uống			
2026-04-28	Chi	80000	Vợ gội đầu	GIU	Khác		Thư	
2026-03-15	Chi	79000	Phá lấu bò A Tài	GIU	Ăn uống			
2026-05-14	Chi	78800	Đi chợ Coop	GIU	Khác			
2025-12-09	Chi	74000	Netflix	GIU	Giải trí			
2026-01-09	Chi	74000	Netflix	GIU	Giải trí			
2026-02-08	Chi	74000	Netflix	GIU	Giải trí			
2026-04-08	Chi	74000	Netflix	GIU	Giải trí			
2026-05-08	Chi	74000	Netflix	GIU	Giải trí			
2026-05-13	Chi	71000	Đi chợ Winmart	GIU	Chợ/Siêu thị			
2026-05-08	Chi	70000	Mua đô shopee (nước nhỏ mắt)	GIU	Ăn uống			
2026-06-27	Chi	70000	Gỏi cuốn cá trích	GIU	Khác			
2026-02-10	Chi	68742	Coop Trần Văn Quang	GIU	Ăn uống			
2026-05-10	Chi	68145	Nạo rau củ Inox Kichin	GIU	Đồ dùng gia đình			
2025-12-12	Chi	67620	Zalopay	GIU	Khác			
2026-01-23	Chi	67000	Chè bóng Thanh Tâm	GIU	Ăn uống			
2026-04-30	Chi	67000	Đi Grab ra bến xe	GIU	Đi lại			
2026-04-30	Chi	62000	Circle K Bến xe Miền Tây	GIU	Đi lại			
2025-12-30	Chi	60000	bánh flan Trần Bình Trọng	GIU	Ăn uống			
2026-04-24	Chi	59000	Mua trà sữa May cha	GIU	Ăn uống			
2026-05-28	Chi	59000	Mua tiktok shop mascara chân mày	GIU	Khác			
2025-12-12	Chi	56000	Tiền mua sổ và khám	GIU	Sức khoẻ			
2026-04-07	Chi	52056	Đăng tin chợ Tốt cho thuê nhà	GIU	Ăn uống			
2026-06-05	Chi	51600	Mua mì gói Omachi	GIU	Khác			
2026-01-19	Chi	51300	Mua nước xả vài Hygien đen	GIU	Ăn uống			
2026-05-28	Chi	51112	Mua đồ shopee (bao tay chống nắng)	GIU	Ăn uống			
2025-12-12	Chi	50000	Chả cá thác lác	GIU	Khác			
2026-01-18	Chi	50000	Đi taxi xanh đi tất niên	GIU	Đi lại			
2026-07-26	Chi	49000	Tiền mua Phin đi Hạnh nhân	GIU	Khác			
2026-02-14	Chi	45000	Mua Highland trạm dừng Phúc Lộc	GIU	Khác			
2026-04-26	Chi	45000	Chi đi Đà Lạt	GIU	Khác			
2026-06-19	Chi	43500	Đi chợ coop Phú Thọ	GIU	Khác			
2026-03-22	Chi	42000	Tiền nước uống sạc xe Cần Thơ	GIU	Hoá đơn			
2026-02-02	Chi	41936	coop Trần Văn Quang	GIU	Ăn uống			
2026-05-27	Chi	41097	Mua đồ shopê (đồ lót)	GIU	Khác			
2026-05-23	Chi	41000	Trà sữa viên viên	GIU	Ăn uống			
2026-05-31	Chi	40000	Mua dừa tắc Pasteur	GIU	Khác			
2026-05-20	Chi	36000	Mua hộp kim chỉ	GIU	Khác			
2026-05-30	Chi	32000	Mua túi vải đựng ga gối	GIU	Đồ dùng gia đình			
2026-06-01	Chi	30000	Mua bánh tráng chị Thanh	GIU	Ăn uống			
2026-05-20	Chi	28900	Mua đồ shopee (set cột tóc	GIU	Ăn uống			
2026-01-24	Chi	27000	Đi metro với mẹ và mua kem	GIU	Ăn uống			
2026-05-20	Chi	26300	Mua đồ shopee (giá để thớt)	GIU	Đồ dùng gia đình			
2026-05-31	Chi	25000	Mua bánh tráng trộn Trịnh Định	GIU	Ăn uống			
2026-07-17	Chi	25000	Vợ đi grab	GIU	Đi lại		Thư	
2026-05-09	Chi	22900	Mua đồ shopee (bình nước thuỷ tinh lùn)	GIU	Ăn uống			
2025-12-12	Chi	20000	Trái thanh long	GIU	Khác			
2026-07-18	Chi	16000	Mua bánh mì ăn ốc Như	GIU	Ăn uống			
2026-07-26	Chi	15000	Trà me	GIU	Khác			
2026-07-26	Chi	14700	Tiền mua nước ngọt	GIU	Ăn uống			
2026-05-29	Chi	13800	Mua đồ shopee (ghế nhựa gác chân)	GIU	Ăn uống			
2026-05-05	Chi	11708	Mua đũa gỗ để xào	GIU	Đồ dùng gia đình			
2026-07-22	Chi	0		GIU	Khác			
2026-07-23	Chi	0		GIU	Khác			
